Date,TS1_S369,TS2_S372,TS3_S391,TS4_S426,TS5_S21642
4/29/2012,768.20,3129.05,1562.26,1575.04,1037.86
5/14/2012,841.19,3091.07,1569.51,1688.86,2204.67
5/30/2012,859.06,3071.91,1724.79,1760.60,2539.06
6/14/2012,865.30,3003.67,1772.51,1754.84,2507.58
6/29/2012,824.88,2921.97,1747.66,1696.77,2334.94
7/14/2012,808.66,2851.08,1706.26,1609.13,2072.24
7/30/2012,796.90,2763.60,1657.83,1544.09,1726.54
8/14/2012,825.67,2740.86,1603.62,1517.94,1399.97
8/30/2012,843.90,2718.60,1528.16,1488.55,1121.51
9/14/2012,845.72,2837.88,1527.44,1494.76,907.94
9/29/2012,895.32,3231.59,1500.57,1511.77,726.10
10/14/2012,919.33,3634.57,1454.52,1517.01,571.50
10/30/2012,925.98,3680.53,1460.87,1482.67,1122.45
11/14/2012,890.75,3629.30,1538.28,1534.87,2094.17
11/29/2012,874.78,3522.06,1607.03,1585.86,2629.24
12/14/2012,860.12,3414.35,1688.12,1588.00,3322.27
12/30/2012,866.93,3350.77,1864.76,1570.71,3588.96
1/14/2013,839.27,3315.66,1961.63,1629.38,3573.08
1/30/2013,859.29,3292.73,2047.40,1698.78,3686.01
2/14/2013,872.41,3276.40,2067.89,1714.15,3630.53
2/27/2013,889.43,3231.61,2045.39,1733.52,3336.32
3/14/2013,906.25,3290.05,1995.48,1732.79,2867.21
3/30/2013,879.88,3258.19,1850.61,1733.02,2393.71
4/14/2013,909.09,3263.50,1828.71,1802.52,2248.70
4/29/2013,957.59,3261.27,1911.95,1894.84,2336.71
5/14/2013,927.96,3279.51,1931.69,1972.76,2341.19
5/30/2013,901.85,3182.59,2009.03,1993.59,2255.27
6/14/2013,864.56,3052.98,1937.67,1929.78,2085.05
6/29/2013,859.83,2961.46,1813.92,1871.81,1842.51
7/14/2013,844.45,2908.37,1723.25,1808.87,1545.39
7/30/2013,841.64,2880.95,1622.57,1751.90,1234.57
8/14/2013,846.10,2864.21,1535.21,1721.39,1035.39
8/30/2013,824.98,2817.69,1519.21,1634.35,898.22
9/14/2013,842.47,2811.99,1481.21,1590.18,753.25
9/29/2013,860.87,2777.08,1413.29,1552.87,613.70
10/14/2013,862.82,2827.07,1331.58,1504.76,488.48
10/30/2013,860.94,2862.99,1244.01,1462.89,377.55
11/14/2013,801.30,2776.26,1135.60,1405.50,408.23
11/29/2013,774.47,2720.39,1041.55,1397.12,768.60
12/14/2013,750.03,2649.44,1125.76,1401.34,950.20
12/30/2013,725.29,2555.38,1351.79,1388.70,1281.90
1/14/2014,715.62,2520.41,1474.26,1389.03,1258.73
1/30/2014,710.72,2540.05,1536.96,1385.58,1164.56
2/14/2014,718.91,2598.33,1531.02,1367.94,1021.73
2/27/2014,755.00,2635.92,1551.54,1343.33,1093.85
3/14/2014,778.14,2723.11,1567.79,1339.12,1071.75
3/30/2014,771.08,2782.47,1503.09,1362.26,1721.88
4/14/2014,797.44,2847.49,1570.83,1391.86,1965.19
4/29/2014,843.05,2858.42,1661.52,1430.24,2297.25
5/14/2014,842.00,2917.95,1666.20,1436.60,2245.01
5/30/2014,807.69,2915.86,1726.77,1426.94,2186.28
6/14/2014,797.45,2848.43,1649.30,1418.83,1941.46
6/29/2014,778.23,2818.49,1589.97,1399.30,1620.23
7/14/2014,756.19,2698.18,1532.45,1364.57,1298.53
7/30/2014,743.21,2551.58,1474.60,1348.19,995.74
8/14/2014,721.70,2403.03,1405.47,1309.08,765.31
8/30/2014,756.03,2335.64,1327.79,1268.84,578.79
9/14/2014,793.57,2268.07,1376.11,1259.57,502.92
9/29/2014,818.02,2222.92,1458.79,1304.33,431.11
10/14/2014,833.87,2395.84,1499.23,1315.10,352.68
10/30/2014,835.22,2521.94,1496.95,1339.21,281.93
11/14/2014,795.03,2622.59,1509.19,1376.85,639.69
11/29/2014,794.21,2672.33,1450.61,1377.48,1252.26
12/14/2014,809.42,2663.43,1464.78,1394.19,1721.29
12/30/2014,800.75,2670.77,1573.66,1374.12,1741.76
1/14/2015,784.06,2721.03,1595.99,1361.79,1660.64
1/30/2015,775.97,2823.94,1578.53,1369.46,1457.42
2/14/2015,809.38,2961.18,1549.96,1388.72,1189.25
2/27/2015,823.99,3118.49,1498.99,1376.46,987.41
3/14/2015,854.34,3245.75,1477.76,1371.06,778.94
3/30/2015,837.07,3251.88,1316.13,1334.69,592.51
4/14/2015,855.59,3149.90,1295.08,1344.79,721.28
4/29/2015,921.75,3121.99,1362.90,1404.65,1516.85
5/14/2015,947.02,3094.65,1529.68,1480.26,2426.31
5/30/2015,927.22,3133.17,1756.89,1584.60,2815.29
6/14/2015,963.73,3116.97,1756.97,1583.45,2766.31
6/29/2015,954.18,3068.13,1699.76,1533.07,2584.17
7/14/2015,884.35,2958.69,1624.56,1542.08,2293.89
7/30/2015,851.58,2881.10,1586.49,1513.52,1920.31
8/14/2015,877.88,2766.63,1542.71,1481.91,1572.53
8/30/2015,839.29,2768.52,1503.72,1450.04,1248.81
9/14/2015,870.84,2834.00,1454.07,1419.50,992.39
9/29/2015,819.31,3001.07,1401.38,1405.73,785.31
10/14/2015,840.29,3144.25,1368.50,1363.24,613.32
10/30/2015,811.66,3176.91,1399.58,1303.67,741.63
11/14/2015,818.20,3131.98,1376.70,1296.18,1551.69
11/29/2015,829.61,3077.08,1325.27,1351.04,2448.21
12/14/2015,804.38,3076.15,1379.82,1383.94,3007.19
12/30/2015,831.70,2973.46,1611.50,1404.92,3580.23
1/14/2016,851.35,2905.73,1703.89,1402.25,3556.12
1/30/2016,932.58,2858.37,1814.96,1387.80,3481.22
2/14/2016,957.52,2842.94,1858.72,1382.37,3198.79
2/27/2016,975.54,2834.29,1873.14,1352.44,2958.45
3/14/2016,986.62,2885.75,1802.22,1302.14,2589.62
3/30/2016,979.09,3159.25,1682.50,1273.60,2326.08
4/14/2016,971.09,3233.78,1579.86,1287.79,2102.09
4/29/2016,993.20,3232.17,1558.75,1310.93,2072.04
5/14/2016,964.98,3131.93,1619.58,1406.47,2455.25
5/30/2016,957.08,3040.68,1736.09,1516.70,2491.09
6/14/2016,929.05,2958.93,1736.29,1572.75,2456.83
6/29/2016,914.11,2885.93,1676.47,1559.11,2365.51
7/14/2016,941.34,2819.52,1610.02,1553.74,2237.30
7/30/2016,886.27,2723.44,1549.24,1531.04,2044.13
8/14/2016,870.84,2631.86,1483.47,1498.79,1787.95
8/30/2016,871.65,2633.65,1421.54,1486.76,1510.76
9/14/2016,907.10,2647.46,1352.39,1466.98,1273.09
9/29/2016,914.21,2679.07,1299.22,1436.44,1058.93
10/14/2016,921.93,2773.14,1232.12,1402.43,884.32
10/30/2016,879.71,2920.97,1219.16,1372.39,740.50
11/14/2016,857.64,2945.73,1172.61,1351.05,635.74
11/29/2016,843.30,2886.35,1054.33,1332.12,1138.65
12/14/2016,863.43,2825.98,1091.63,1323.85,1842.48
12/30/2016,815.12,2788.47,1219.77,1316.45,2109.95
1/14/2017,794.89,2764.25,1264.94,1310.76,2062.43
1/30/2017,779.01,2762.92,1309.67,1297.41,1857.91
2/14/2017,804.14,2805.09,1317.37,1267.87,1591.23
2/27/2017,790.65,2820.58,1291.79,1241.01,1340.07
3/14/2017,797.95,2784.23,1280.92,1218.28,1065.35
3/30/2017,789.65,2819.24,1166.00,1183.38,816.94
4/14/2017,739.19,2770.28,1138.39,1176.49,801.71
4/29/2017,731.09,2691.23,1145.18,1182.01,1136.65
5/14/2017,738.19,2603.56,1169.47,1196.25,1531.10
5/30/2017,774.24,2637.37,1353.21,1234.20,1794.39
6/14/2017,768.44,2616.58,1419.70,1253.84,1774.86
6/29/2017,758.82,2535.51,1444.68,1260.67,1703.29
7/14/2017,750.44,2431.89,1418.06,1232.87,1513.16
7/30/2017,759.63,2317.48,1375.85,1204.80,1229.46
8/14/2017,805.59,2248.15,1332.15,1177.98,980.17
8/30/2017,837.86,2340.74,1278.58,1137.13,750.81
9/14/2017,867.61,2466.04,1223.16,1101.91,572.02
9/29/2017,859.98,2729.20,1177.02,1076.30,428.17
10/14/2017,855.22,2953.53,1140.71,1051.61,311.17
10/30/2017,896.09,3029.01,1161.87,1072.80,537.03
11/14/2017,921.21,3002.08,1234.81,1145.55,1510.02
11/29/2017,924.09,2942.30,1295.42,1187.46,2294.09
12/14/2017,872.39,2879.11,1370.78,1197.09,2541.44
12/30/2017,846.09,2814.58,1529.77,1200.47,2441.55
1/14/2018,813.80,2737.32,1581.01,1192.99,2265.50
1/30/2018,813.17,2698.10,1587.74,1195.10,1989.57
2/14/2018,789.31,2660.22,1557.53,1177.76,1655.14
2/27/2018,768.84,2665.80,1512.11,1160.70,1362.65
3/14/2018,775.71,2676.01,1524.74,1131.88,1169.64
3/30/2018,825.77,2681.25,1565.86,1156.82,1802.60
4/14/2018,881.85,2744.58,1656.64,1211.16,2602.16
4/29/2018,942.55,2777.01,1752.57,1357.55,3382.30
5/14/2018,971.49,2916.12,1803.75,1521.02,3605.52
5/30/2018,976.58,2943.33,1871.58,1637.35,3497.36
6/14/2018,930.35,2869.31,1795.17,1667.74,3371.86
6/29/2018,901.25,2785.88,1710.82,1663.59,3090.32
7/14/2018,865.34,2724.12,1619.02,1621.28,2783.47
7/30/2018,829.65,2622.96,1534.10,1575.71,2456.93
8/14/2018,820.25,2605.82,1471.61,1575.23,2143.48
8/30/2018,849.11,2567.24,1407.69,1515.91,1812.66
9/14/2018,860.78,2563.69,1351.70,1488.15,1514.47
9/29/2018,831.28,2668.69,1304.59,1448.80,1249.43
10/14/2018,854.82,2835.59,1253.13,1389.04,1018.62
10/30/2018,803.99,2957.31,1230.21,1325.82,809.69
11/14/2018,822.83,2935.55,1195.50,1274.77,866.14
11/29/2018,764.23,2844.10,1059.90,1259.53,1447.69
12/14/2018,737.56,2768.68,1030.82,1246.16,2027.86
12/30/2018,747.53,2680.59,1217.23,1250.18,2651.81
1/14/2019,751.43,2629.04,1369.22,1254.91,2894.16
1/30/2019,785.40,2678.58,1510.99,1229.13,2883.77
2/14/2019,791.15,2755.60,1569.43,1198.16,2772.97
2/27/2019,788.08,2793.06,1569.31,1166.32,2490.16
3/14/2019,782.04,2897.36,1523.70,1136.58,2136.07
3/30/2019,715.08,2982.55,1385.18,1098.61,1750.60
4/14/2019,700.51,3016.00,1307.17,1085.09,1442.15
4/29/2019,706.48,3006.81,1249.47,1081.29,1204.20
5/14/2019,791.91,3026.94,1357.43,1107.96,1385.00
5/30/2019,786.42,2938.64,1536.34,1167.38,1577.09
6/14/2019,836.83,2859.85,1541.51,1237.94,1560.83
6/29/2019,826.75,2820.70,1527.11,1305.36,1487.99
7/14/2019,841.61,2811.70,1496.87,1346.78,1355.50
7/30/2019,783.74,2734.19,1437.61,1356.41,1156.19
8/14/2019,769.44,2717.57,1388.95,1361.64,964.10
8/30/2019,780.61,2742.69,1331.61,1341.85,778.45
9/14/2019,804.18,2775.94,1243.63,1333.38,638.13
9/29/2019,797.22,2852.08,1210.32,1323.20,540.45
10/14/2019,795.04,2931.23,1203.17,1327.17,552.59
10/30/2019,846.10,3014.96,1379.77,1333.59,1514.00
11/14/2019,835.97,3099.71,1649.89,1347.65,2317.74
11/29/2019,835.66,3116.36,1652.02,1358.49,2952.13
12/14/2019,875.78,3057.89,1733.20,1397.93,3623.53
12/30/2019,844.03,2969.86,1846.71,1421.94,3776.38
1/14/2020,819.78,2982.04,1859.69,1408.17,3762.95
1/30/2020,805.21,2973.95,1812.66,1395.96,3685.87
2/14/2020,841.80,3033.15,1861.03,1425.60,3541.85
2/27/2020,846.76,3141.53,1847.88,1418.01,3462.10
3/14/2020,845.41,3315.10,1838.90,1415.08,3448.97
3/30/2020,841.74,3454.01,1742.77,1453.77,3446.62
4/14/2020,884.39,3518.63,1789.13,1519.37,3289.36
4/29/2020,918.11,3502.01,1818.29,1611.03,3393.38
5/14/2020,928.90,3349.42,1816.04,1733.73,3448.60
5/30/2020,867.38,3267.51,1840.82,1781.79,3313.18
6/14/2020,826.96,3198.36,1757.59,1763.52,3069.46
6/29/2020,799.55,3160.41,1680.33,1747.44,2794.91
7/14/2020,765.85,3093.10,1657.68,1704.17,2449.33
7/30/2020,764.75,2914.72,1621.35,1681.74,2056.70
8/14/2020,747.27,2815.50,1585.25,1658.96,1731.77
8/30/2020,796.00,2749.58,1547.06,1633.61,1424.81
9/14/2020,815.23,2775.82,1506.21,1596.93,1190.57
9/29/2020,828.45,2813.50,1547.06,1570.28,1000.06
10/14/2020,831.58,3046.91,1523.27,1580.54,833.63
10/30/2020,805.32,3183.55,1496.53,1615.69,687.32
11/14/2020,787.36,3138.73,1448.49,1633.29,584.32
11/29/2020,774.76,3155.02,1354.56,1638.63,519.36
12/14/2020,756.43,3147.77,1335.24,1664.19,945.21
12/30/2020,732.56,3094.47,1420.64,1690.50,1221.27
1/14/2021,713.66,2989.26,1403.15,1686.84,1737.35
1/30/2021,712.70,2942.80,1438.07,1697.18,1908.64
2/14/2021,744.87,2927.94,1467.45,1710.50,1881.54
2/27/2021,761.96,2961.88,1497.72,1693.28,2063.99
3/14/2021,802.18,3128.99,1542.09,1684.71,2203.74
3/30/2021,742.40,3095.40,1422.13,1678.07,2163.42
4/14/2021,726.70,3087.02,1397.08,1685.40,2148.16
4/29/2021,730.14,3009.06,1394.88,1673.76,2320.65
5/14/2021,715.56,2920.23,1367.37,1688.91,2444.91
5/30/2021,768.84,2846.80,1515.03,1657.51,2618.52
6/14/2021,733.85,2784.99,1544.69,1656.63,2537.25
6/29/2021,717.48,2694.95,1537.82,1642.84,2399.53
7/14/2021,720.62,2625.20,1502.70,1620.70,2146.07
7/30/2021,695.76,2563.39,1444.03,1585.24,1814.31
8/14/2021,685.95,2518.73,1392.68,1604.31,1518.29
8/30/2021,684.88,2479.91,1347.34,1606.60,1226.55
9/14/2021,653.25,2451.65,1302.13,1581.30,991.86
9/29/2021,674.70,2652.38,1263.41,1560.90,798.98
10/14/2021,730.86,2972.05,1227.53,1590.87,639.09
10/30/2021,743.26,3140.27,1180.75,1572.71,502.79
11/14/2021,745.78,3153.82,1138.09,1545.38,407.36
11/29/2021,708.41,3107.72,992.99,1527.21,346.24
12/14/2021,704.53,3088.19,913.72,1514.47,742.28
12/30/2021,648.41,2938.07,928.45,1504.14,1294.71
1/14/2022,626.25,2828.59,904.96,1471.17,1864.60
1/30/2022,657.93,2713.94,953.80,1432.68,1912.64
2/14/2022,678.53,2678.24,1124.20,1400.79,1838.18
2/27/2022,671.72,2706.58,1258.50,1368.37,1624.75
3/14/2022,706.26,2770.28,1357.91,1323.95,1380.27
3/30/2022,686.78,2727.21,1272.74,1285.39,1105.87
4/14/2022,667.62,2700.06,1299.57,1269.25,1030.07
4/29/2022,638.51,2633.52,1285.39,1266.26,1001.23
5/14/2022,617.52,2561.02,1231.83,1265.29,1361.20
5/30/2022,599.19,2514.76,1268.50,1277.44,1460.87
6/14/2022,578.20,2425.65,1219.81,1271.30,1412.58
6/29/2022,570.42,2352.89,1159.25,1266.41,1324.53
7/14/2022,569.78,2261.93,1112.36,1235.40,1167.70
7/30/2022,565.74,2250.06,1104.82,1194.60,961.99
8/14/2022,564.85,2222.20,1080.26,1162.46,780.53
8/30/2022,564.73,2203.80,1048.79,1103.49,613.55
